created_on,name,schema_name,is_builtin,is_aggregate,is_ansi,min_num_arguments,max_num_arguments,arguments,description,catalog_name,is_table_function,valid_for_clustering,is_secure,is_external_function,language,is_memoizable
2012-08-01T00:00:00-07:00,ARRAY_APPEND,,Y,N,N,2,2,"ARRAY_APPEND(ARRAY, ANY) RETURN ARRAY, ARRAY_APPEND(ARRAY(ANY), ANY) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_CAT,,Y,N,N,2,2,"ARRAY_CAT(ARRAY, ARRAY) RETURN ARRAY, ARRAY_CAT(VARIANT, VARIANT) RETURN ARRAY, ARRAY_CAT(ARRAY, VARIANT) RETURN ARRAY, ARRAY_CAT(VARIANT, ARRAY) RETURN ARRAY, ARRAY_CAT(ARRAY(ANY), ARRAY(ANY)) RETURN ARRAY(ANY)",Concatenate two arrays,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_COMPACT,,Y,N,N,1,1,"ARRAY_COMPACT(ARRAY) RETURN ARRAY, ARRAY_COMPACT(VARIANT) RETURN ARRAY, ARRAY_COMPACT(ARRAY(ANY)) RETURN ARRAY(ANY)",Compact array by removing nulls,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_CONSTRUCT,,Y,N,N,0,-1,ARRAY_CONSTRUCT(ANY) RETURN ARRAY,the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_CONSTRUCT_COMPACT,,Y,N,N,0,-1,ARRAY_CONSTRUCT_COMPACT(ANY) RETURN ARRAY,the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_CONTAINS,,Y,N,N,2,2,"ARRAY_CONTAINS(VARIANT, ARRAY) RETURN BOOLEAN, ARRAY_CONTAINS(ANY, ARRAY(ANY)) RETURN BOOLEAN",Returns true if array contains value,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_DISTINCT,,Y,N,N,1,1,"ARRAY_DISTINCT(ARRAY) RETURN ARRAY, ARRAY_DISTINCT(ARRAY(ANY)) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_EXCEPT,,Y,N,N,2,2,"ARRAY_EXCEPT(ARRAY, ARRAY) RETURN ARRAY, ARRAY_EXCEPT(ARRAY(ANY), ARRAY(ANY)) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_FLATTEN,,Y,N,N,1,1,ARRAY_FLATTEN(ARRAY) RETURN ARRAY,the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_GENERATE_RANGE,,Y,N,N,2,3,"ARRAY_GENERATE_RANGE(NUMBER, NUMBER [, NUMBER]) RETURN ARRAY",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_INSERT,,Y,N,N,3,3,"ARRAY_INSERT(ARRAY, NUMBER, ANY) RETURN ARRAY, ARRAY_INSERT(ARRAY(ANY), NUMBER, ANY) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_INTERSECTION,,Y,N,N,2,2,"ARRAY_INTERSECTION(ARRAY, ARRAY) RETURN ARRAY, ARRAY_INTERSECTION(ARRAY(ANY), ARRAY(ANY)) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_MAX,,Y,N,N,1,1,"ARRAY_MAX(ARRAY) RETURN VARIANT, ARRAY_MAX(ARRAY(ANY)) RETURN ANY","the maximum defined element in the array, or NULL",,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_MIN,,Y,N,N,1,1,"ARRAY_MIN(ARRAY) RETURN VARIANT, ARRAY_MIN(ARRAY(ANY)) RETURN ANY","the minimum defined element in the array, or NULL",,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_POSITION,,Y,N,N,2,2,"ARRAY_POSITION(VARIANT, ARRAY) RETURN NUMBER, ARRAY_POSITION(ANY, ARRAY(ANY)) RETURN NUMBER",Returns the first index position of the element in the array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_PREPEND,,Y,N,N,2,2,"ARRAY_PREPEND(ARRAY, ANY) RETURN ARRAY, ARRAY_PREPEND(ARRAY(ANY), ANY) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_REMOVE,,Y,N,N,2,2,"ARRAY_REMOVE(ARRAY, VARIANT) RETURN ARRAY, ARRAY_REMOVE(ARRAY(ANY), ANY) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_REMOVE_AT,,Y,N,N,2,2,"ARRAY_REMOVE_AT(ARRAY, NUMBER) RETURN ARRAY, ARRAY_REMOVE_AT(ARRAY(ANY), NUMBER) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_SIZE,,Y,N,N,1,1,"ARRAY_SIZE(ARRAY) RETURN NUMBER, ARRAY_SIZE(ARRAY(ANY)) RETURN NUMBER, ARRAY_SIZE(VARIANT) RETURN NUMBER",Returns array size,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_SLICE,,Y,N,N,3,3,"ARRAY_SLICE(ARRAY, NUMBER, NUMBER) RETURN ARRAY, ARRAY_SLICE(ARRAY(ANY), NUMBER, NUMBER) RETURN ARRAY(ANY)",the resulting array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_SORT,,Y,N,N,1,3,"ARRAY_SORT(ARRAY [, BOOLEAN] [, BOOLEAN]) RETURN ARRAY",the sorted array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_TO_STRING,,Y,N,N,2,2,"ARRAY_TO_STRING(ARRAY, VARCHAR) RETURN VARCHAR, ARRAY_TO_STRING(VARIANT, VARCHAR) RETURN VARCHAR",Convert array to a string,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_UNION_AGG,,Y,Y,N,1,1,"ARRAY_UNION_AGG(ARRAY) RETURN ARRAY, ARRAY_UNION_AGG(ARRAY(ANY)) RETURN ARRAY(ANY)",output array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_UNIQUE_AGG,,Y,Y,N,1,1,ARRAY_UNIQUE_AGG(ANY) RETURN ARRAY,output array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ASCII,,Y,N,N,1,1,ASCII(VARCHAR) RETURN NUMBER,Returns the ascii code of the first character of the string,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ASIN,,Y,N,N,1,1,ASIN(FLOAT) RETURN FLOAT,Compute the arcsine of the input expression (returned as radians).,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ASINH,,Y,N,N,1,1,ASINH(FLOAT) RETURN FLOAT,Compute the inverse hyperbolic sine of the input expression.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_ARRAY,,Y,N,N,1,1,AS_ARRAY(VARIANT) RETURN ARRAY,Use VARIANT value as ARRAY,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_BINARY,,Y,N,N,1,1,AS_BINARY(VARIANT) RETURN BINARY,Use VARIANT value as binary string,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_BOOLEAN,,Y,N,N,1,1,AS_BOOLEAN(VARIANT) RETURN BOOLEAN,Use VARIANT value as Boolean,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_CHAR,,Y,N,N,1,1,AS_CHAR(VARIANT) RETURN VARCHAR,Use VARIANT value as text string,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_DATE,,Y,N,N,1,1,AS_DATE(VARIANT) RETURN DATE,Use VARIANT value as DATE,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_DECIMAL,,Y,N,N,1,3,"AS_DECIMAL(VARIANT [, NUMBER] [, NUMBER]) RETURN NUMBER",Use VARIANT value as decimal fixed-point,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_DOUBLE,,Y,N,N,1,1,AS_DOUBLE(VARIANT) RETURN FLOAT,Use VARIANT value as real,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_INTEGER,,Y,N,N,1,2,"AS_INTEGER(VARIANT [, NUMBER]) RETURN NUMBER",Use VARIANT value as integer,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_NUMBER,,Y,N,N,1,3,"AS_NUMBER(VARIANT [, NUMBER] [, NUMBER]) RETURN NUMBER",Use VARIANT value as as decimal fixed-point,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_OBJECT,,Y,N,N,1,1,AS_OBJECT(VARIANT) RETURN OBJECT,Use VARIANT value as OBJECT,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_REAL,,Y,N,N,1,1,AS_REAL(VARIANT) RETURN FLOAT,Use VARIANT value as real,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_TIME,,Y,N,N,1,1,AS_TIME(VARIANT) RETURN TIME,Use VARIANT value as TIME,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_TIMESTAMP_LTZ,,Y,N,N,1,3,"AS_TIMESTAMP_LTZ(VARIANT [, NUMBER]) RETURN TIMESTAMP_LTZ",Use VARIANT value as TIMESTAMP_LTZ,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_TIMESTAMP_NTZ,,Y,N,N,1,3,"AS_TIMESTAMP_NTZ(VARIANT [, NUMBER]) RETURN TIMESTAMP_NTZ",Use VARIANT value as TIMESTAMP_NTZ,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_TIMESTAMP_TZ,,Y,N,N,1,3,"AS_TIMESTAMP_TZ(VARIANT [, NUMBER]) RETURN TIMESTAMP_TZ",Use VARIANT value as TIMESTAMP_TZ,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,AS_VARCHAR,,Y,N,N,1,1,AS_VARCHAR(VARIANT) RETURN VARCHAR,Use VARIANT value as text sting,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ATAN,,Y,N,N,1,1,ATAN(FLOAT) RETURN FLOAT,Compute the arctangent of the input expression (returned as radians).,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ATAN2,,Y,N,N,2,2,"ATAN2(FLOAT, FLOAT) RETURN FLOAT","Compute the angle (in radians) between the x-axis and point (x, y).",,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ATANH,,Y,N,N,1,1,ATANH(FLOAT) RETURN FLOAT,Compute the inverse hyperbolic tangent of the input expression (as radians).,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,AVG,,Y,Y,Y,1,1,"AVG(NUMBER) RETURN NUMBER, AVG(FLOAT) RETURN FLOAT",Returns the average of the values in a group. Null values are ignored.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BASE64_DECODE_BINARY,,Y,N,N,1,2,"BASE64_DECODE_BINARY(VARCHAR [, VARCHAR]) RETURN BINARY",return decoded binary,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BASE64_DECODE_STRING,,Y,N,N,1,2,"BASE64_DECODE_STRING(VARCHAR [, VARCHAR]) RETURN VARCHAR",return decoded string,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BASE64_ENCODE,,Y,N,N,1,3,"BASE64_ENCODE(VARCHAR [, NUMBER] [, VARCHAR]) RETURN VARCHAR, BASE64_ENCODE(BINARY [, NUMBER] [, VARCHAR]) RETURN VARCHAR",return encoded string,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BINARY_AS_STRING,,Y,N,N,1,1,BINARY_AS_STRING(BINARY) RETURN VARCHAR,Returns the input interpreted as a string.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITAND,,Y,N,N,2,2,"BITAND(NUMBER, NUMBER) RETURN NUMBER",returns result of bitwise AND of integers x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITANDAGG,,Y,Y,N,1,1,BITANDAGG(NUMBER) RETURN NUMBER,Returns the bitwise AND of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITAND_AGG,,Y,Y,N,1,1,BITAND_AGG(NUMBER) RETURN NUMBER,Returns the bitwise AND of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITCOUNT,,Y,N,N,1,1,BITCOUNT(NUMBER) RETURN NUMBER,returns the number of bits set in integer x,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITMAP_BIT_POSITION,,Y,N,N,1,2,BITMAP_BIT_POSITION(NUMBER) RETURN NUMBER,relative position in bitmap,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITMAP_BUCKET_NUMBER,,Y,N,N,1,2,BITMAP_BUCKET_NUMBER(NUMBER) RETURN NUMBER,bucket index of the destination bitmap,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITMAP_CONSTRUCT_AGG,,Y,Y,N,1,2,BITMAP_CONSTRUCT_AGG(NUMBER) RETURN BINARY,bitmap,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITMAP_COUNT,,Y,N,N,1,2,BITMAP_COUNT(BINARY) RETURN NUMBER,number of set bits in the bitmap,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITMAP_OR_AGG,,Y,Y,N,1,2,BITMAP_OR_AGG(BINARY) RETURN BINARY,destination bitmap,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITNOT,,Y,N,N,1,1,BITNOT(NUMBER) RETURN NUMBER,returns result of bitwise negation of integer x,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITOR,,Y,N,N,2,2,"BITOR(NUMBER, NUMBER) RETURN NUMBER",returns result of bitwise OR of integers x and y,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITORAGG,,Y,Y,N,1,1,BITORAGG(NUMBER) RETURN NUMBER,Returns the bitwise OR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITOR_AGG,,Y,Y,N,1,1,BITOR_AGG(NUMBER) RETURN NUMBER,Returns the bitwise OR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITSHIFTLEFT,,Y,N,N,2,2,"BITSHIFTLEFT(NUMBER, NUMBER) RETURN NUMBER",returns result of arg1 bit-shifted left by arg2 bits,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITSHIFTRIGHT,,Y,N,N,2,2,"BITSHIFTRIGHT(NUMBER, NUMBER) RETURN NUMBER",returns result of arg1 bit-shifted right by arg2 bits,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITXOR,,Y,N,N,2,2,"BITXOR(NUMBER, NUMBER) RETURN NUMBER",returns result of bitwise XOR of integers x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BITXORAGG,,Y,Y,N,1,1,BITXORAGG(NUMBER) RETURN NUMBER,Returns the bitwise XOR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BITXOR_AGG,,Y,Y,N,1,1,BITXOR_AGG(NUMBER) RETURN NUMBER,Returns the bitwise XOR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_AND,,Y,N,N,2,2,"BIT_AND(NUMBER, NUMBER) RETURN NUMBER",returns result of bitwise AND of integers x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_ANDAGG,,Y,Y,N,1,1,BIT_ANDAGG(NUMBER) RETURN NUMBER,Returns the bitwise AND of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_AND_AGG,,Y,Y,N,1,1,BIT_AND_AGG(NUMBER) RETURN NUMBER,Returns the bitwise AND of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_LENGTH,,Y,N,N,1,1,"BIT_LENGTH(VARCHAR) RETURN NUMBER, BIT_LENGTH(BINARY) RETURN NUMBER",Returns the length of the object in bits,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_NOT,,Y,N,N,1,1,BIT_NOT(NUMBER) RETURN NUMBER,returns result of bitwise negation of integer x,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_OR,,Y,N,N,2,2,"BIT_OR(NUMBER, NUMBER) RETURN NUMBER",returns result of bitwise OR of integers x and y,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_ORAGG,,Y,Y,N,1,1,BIT_ORAGG(NUMBER) RETURN NUMBER,Returns the bitwise OR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_OR_AGG,,Y,Y,N,1,1,BIT_OR_AGG(NUMBER) RETURN NUMBER,Returns the bitwise OR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_SHIFTLEFT,,Y,N,N,2,2,"BIT_SHIFTLEFT(NUMBER, NUMBER) RETURN NUMBER",returns result of arg1 bit-shifted left by arg2 bits,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_SHIFTRIGHT,,Y,N,N,2,2,"BIT_SHIFTRIGHT(NUMBER, NUMBER) RETURN NUMBER",returns result of arg1 bit-shifted right by arg2 bits,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_XOR,,Y,N,N,2,2,"BIT_XOR(NUMBER, NUMBER) RETURN NUMBER",returns result of bitwise XOR of integers x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_XORAGG,,Y,Y,N,1,1,BIT_XORAGG(NUMBER) RETURN NUMBER,Returns the bitwise XOR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BIT_XOR_AGG,,Y,Y,N,1,1,BIT_XOR_AGG(NUMBER) RETURN NUMBER,Returns the bitwise XOR of a column. Null values are ignored.,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLAND,,Y,N,N,2,2,"BOOLAND(NUMBER, NUMBER) RETURN BOOLEAN",returns result of logical (Boolean) AND of x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLAND_AGG,,Y,Y,N,1,1,BOOLAND_AGG(NUMBER) RETURN BOOLEAN,Returns the logical (boolean) AND of a column. Null values are ignored.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLNOT,,Y,N,N,1,1,BOOLNOT(NUMBER) RETURN BOOLEAN,returns result of logical (Boolean) NOT of x,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLOR,,Y,N,N,2,2,"BOOLOR(NUMBER, NUMBER) RETURN BOOLEAN",returns result of logical (Boolean) OR of x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLOR_AGG,,Y,Y,N,1,1,BOOLOR_AGG(NUMBER) RETURN BOOLEAN,Returns the logical (boolean) OR of a column. Null values are ignored.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLXOR,,Y,N,N,2,2,"BOOLXOR(NUMBER, NUMBER) RETURN BOOLEAN",returns result of logical (Boolean) XOR of x and y,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,BOOLXOR_AGG,,Y,Y,N,1,1,BOOLXOR_AGG(NUMBER) RETURN BOOLEAN,Returns the logical (boolean) XOR of a column. Null values are ignored.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CBRT,,Y,N,N,1,1,CBRT(FLOAT) RETURN FLOAT,Compute the cubic root of the input expression.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CEIL,,Y,N,Y,1,2,"CEIL(NUMBER [, NUMBER]) RETURN NUMBER, CEIL(FLOAT [, FLOAT]) RETURN FLOAT",round to the nearest integer not smaller than input,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,CHAR,,Y,N,N,1,1,CHAR(NUMBER) RETURN VARCHAR,Convert an ASCII or Unicode code into a single character,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CHARINDEX,,Y,N,Y,2,3,"CHARINDEX(VARCHAR, VARCHAR [, NUMBER]) RETURN NUMBER, CHARINDEX(BINARY, BINARY [, NUMBER]) RETURN NUMBER","Returns the position of the needle in the haystack, optionally from a given index",,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CHECK_JSON,,Y,N,N,1,1,CHECK_JSON(VARCHAR) RETURN VARCHAR,Checks JSON for errors,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CHECK_XML,,Y,N,N,1,2,"CHECK_XML(VARCHAR) RETURN VARCHAR, CHECK_XML(VARCHAR, BOOLEAN) RETURN VARCHAR",Checks XML for errors,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CHR,,Y,N,N,1,1,CHR(NUMBER) RETURN VARCHAR,Convert an ASCII or Unicode code into a single character,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,COALESCE,,Y,N,Y,2,-1,"COALESCE(ANY, ANY) RETURN ANY",returns the first non-null expression among its arguments,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,COMPRESS,,Y,N,N,2,2,"COMPRESS(VARCHAR, VARCHAR) RETURN BINARY, COMPRESS(BINARY, VARCHAR) RETURN BINARY",compressed data (return),,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CONCAT,,Y,N,Y,1,-1,"CONCAT(VARCHAR) RETURN VARCHAR, CONCAT(BINARY) RETURN BINARY","Returns concatenation of the input strings, or null if any one of them is null.",,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,CONCAT_WS,,Y,N,Y,2,-1,"CONCAT_WS(VARCHAR, VARCHAR) RETURN VARCHAR, CONCAT_WS(BINARY, BINARY) RETURN BINARY","Returns concatenation of the input strings with separator, or null if any one of them is null.",,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,CONDITIONAL_CHANGE_EVENT,,Y,N,N,1,1,CONDITIONAL_CHANGE_EVENT(ANY) RETURN NUMBER,Returns the event window number of this row in the window based on whether the argument expression on the current row differs from that on the previous row ,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,CONDITIONAL_TRUE_EVENT,,Y,N,N,1,1,CONDITIONAL_TRUE_EVENT(BOOLEAN) RETURN NUMBER,Returns the event window number of this row in the window based on the result of the boolean argument expression ,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,CONTAINS,,Y,N,N,2,2,"CONTAINS(VARCHAR, VARCHAR) RETURN BOOLEAN, CONTAINS(BINARY, BINARY) RETURN BOOLEAN",returns TRUE if arg1 constains arg2,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,CORR,,Y,Y,Y,2,2,"CORR(FLOAT, FLOAT) RETURN FLOAT",Returns the correlation coefficient for non-null pairs in a group.,,N,N,,N,SQL,N
